Month,spot,ln(spot),GDP,ln(GDP),CPI,ln(CPI),M3,ln(M3),BoT,diff(rate)
Jan-99,38.717,3.65627878,358.893358,5.883025292,1.267149643,0.236770003,199.0203495,5.293407078,-123.6295109,-8.349
Feb-99,39.098,3.666071315,369.7337777,5.912783227,1.258111963,0.229612155,200.9743713,5.303177394,-80.40762217,-7.831
Mar-99,38.766,3.657543574,377.4649233,5.933477646,1.25518332,0.227281634,199.5606957,5.296118429,-530.9262764,-7.226
Apr-99,38.018,3.638059732,386.2397081,5.956458182,1.255716914,0.227706656,201.2291844,5.304444479,96.92309928,-5.97
May-99,38.095,3.64008304,396.1049535,5.98167921,1.257331557,0.228991663,197.7206515,5.286855184,-125.0763436,-5.04
Jun-99,38.019,3.638086035,402.759724,5.998340166,1.248735583,0.222131506,195.5234392,5.275680266,-159.735624,-4.128
Jul-99,38.245,3.644012833,399.1332148,5.989295233,1.247528992,0.221164789,196.7760443,5.282066251,-507.4641781,-3.189
Aug-99,39.671,3.680620442,382.7495564,5.947380876,1.24920342,0.222506084,195.4548184,5.275329245,-53.943034,-3.037
Sep-99,41.112,3.71630005,365.1418793,5.900285988,1.249042832,0.222377523,193.1054003,5.263236155,-26.09361821,-3.074
Oct-99,40.158,3.692821673,357.7181134,5.879745284,1.248924773,0.222283,194.5781174,5.270833714,-35.65585674,-2.447
Nov-99,40.787,3.708363403,366.1898397,5.903151887,1.246763965,0.220551366,186.1456838,5.226529613,-43.97098067,-2.858
Dec-99,40.313,3.696673998,383.5203653,5.949392723,1.250832972,0.223809707,173.1871353,5.154372717,-112.3102452,-2.845
Jan-00,40.39,3.69858223,398.8178624,5.988504828,1.21433171,0.194193892,185.6635541,5.223936187,-510.707286,-2.964
Feb-00,40.845,3.709784415,399.9613725,5.991367974,1.213488481,0.193499254,190.0967792,5.247533307,-86.42486999,-2.839
Mar-00,41.063,3.715107473,393.3783178,5.974771789,1.216391485,0.195888677,186.4909199,5.228382551,-151.2235446,-2.803
Apr-00,41.278,3.72032967,388.1184946,5.961310692,1.217669219,0.196938555,186.6013968,5.228974774,-140.8458824,-2.479
May-00,42.829,3.757215443,390.6859765,5.967904108,1.219291635,0.198270063,189.1788936,5.242693095,-72.64743584,-2.09
Jun-00,43.154,3.764775113,395.4155065,5.979937127,1.215061248,0.194794486,185.7394776,5.224345034,-40.70872126,-2.176
Jul-00,44.941,3.805350518,393.138555,5.974162107,1.214484941,0.19432007,188.2165049,5.237592922,-69.09455955,-2.228
Aug-00,45.077,3.808372139,378.8981548,5.937267448,1.213419506,0.193442412,188.2876838,5.237971026,-40.63980347,-2.316
Sep-00,46.283,3.834774723,363.1914492,5.894930103,1.212127554,0.192377124,188.0067704,5.236477975,-74.04807597,-2.542
Oct-00,51.427,3.940163326,357.1439951,5.878139048,1.205096745,0.18655985,186.3244404,5.227489458,-72.57404334,-2.739
Nov-00,49.393,3.899808714,366.4656662,5.903904837,1.196991378,0.179811223,181.072172,5.198895692,-59.94865245,-9.147
Dec-00,49.998,3.911983005,383.8892242,5.950354032,1.195042293,0.178181576,175.8667405,5.169726552,-31.70930869,-7.159
Jan-01,49.412,3.90019331,397.9666198,5.986368132,1.187425375,0.171787412,176.3975159,5.172740061,286.6714779,-6.608
Feb-01,48.263,3.876665222,396.2828096,5.982128122,1.187014481,0.171441315,179.6508249,5.191015105,-109.1813581,-5.353
Mar-01,49.378,3.899504981,387.1530455,5.958820081,1.18393205,0.168841145,179.5412406,5.190404934,229.730502,-4.844
Apr-01,51.218,3.936091033,379.565116,5.939026166,1.184381021,0.169220293,177.9655417,5.181589946,42.01347419,-5.368
May-01,50.584,3.923635321,381.0833347,5.943018077,1.186102002,0.170672302,178.1030232,5.182362165,96.00260539,-5.47
Jun-01,52.366,3.958257526,385.53189,5.954623913,1.176083918,0.162190206,178.1898153,5.18284936,124.9650502,-5.016
Jul-01,53.562,3.980839861,383.1357402,5.948389339,1.169194972,0.156315454,182.672883,5.207697029,126.2084021,-5.218
Aug-01,51.21,3.935934825,368.4653167,5.909346587,1.167176962,0.15458798,184.2200606,5.216131024,122.3675211,-6.028
Sep-01,51.355,3.938762303,352.3119593,5.864517031,1.164902006,0.152636968,187.2226331,5.23229846,1684.132548,-6.635
Oct-01,51.935,3.949992937,346.1611472,5.84690441,1.161071984,0.149343703,186.6336468,5.229147587,-87.75052758,-7.463
Nov-01,52.024,3.951705151,355.8457832,5.874497444,1.159702158,0.148163212,187.0713975,5.231490349,-82.3174781,-7.515
Dec-01,51.404,3.93971599,373.7960519,5.923710333,1.155518041,0.144548764,181.5873043,5.201736553,-98.38612811,-7.052
Jan-02,51.201,3.935759063,388.204158,5.961531382,1.1522734,0.141736861,161.9667285,5.087390935,-83.33794754,-6.144
Feb-02,51.354,3.93874283,386.4589393,5.957025625,1.153421529,0.142732768,160.7170359,5.079645278,-431.6926094,-5.365
Mar-02,51.148,3.934723391,377.488228,5.933539384,1.151109767,0.140726492,157.6277514,5.060236249,61.53524234,-4.461
Apr-02,50.744,3.926793384,371.0078395,5.916223193,1.154251534,0.143452111,156.8401338,5.05522703,34.12802285,-2.822
May-02,49.966,3.911342774,374.9641107,5.926830316,1.154989062,0.144090873,157.4317873,5.058992268,101.9932883,-2.587
Jun-02,50.418,3.920348254,382.2792985,5.946151489,1.155291529,0.144352718,159.6826906,5.073188662,95.15497402,-2.968
Jul-02,51.287,3.937437309,381.1346332,5.943152681,1.15343557,0.142744941,160.6984393,5.079529561,130.0381044,-2.98
Aug-02,51.809,3.947563879,364.9266688,5.899696426,1.155033552,0.144129392,161.5100903,5.084567619,49.87140661,-3.198
Sep-02,52.447,3.959803136,346.0919825,5.846704585,1.157122281,0.145936131,159.8697782,5.074359598,119.3054764,-3.453
Oct-02,53.017,3.970612617,337.639514,5.8219788,1.158499026,0.147125224,159.9797162,5.075047033,184.5360181,-3.552
Nov-02,53.589,3.981343823,345.7388853,5.845683823,1.161361452,0.149592983,161.10197,5.082037519,131.4439673,-3.867
Dec-02,53.096,3.972101596,362.865055,5.894031016,1.162315565,0.150414192,155.2347196,5.044938292,-2725.600972,-3.824
Jan-03,53.799,3.98525488,377.2856467,5.933002584,1.15988534,0.148321156,158.987577,5.068826067,109.0775232,-3.891
Feb-03,54.345,3.995352613,376.3375284,5.930486423,1.159756981,0.148210484,160.8157713,5.080259432,186.0053851,-4.402
Mar-03,53.532,3.980279606,368.2266016,5.908698514,1.155026514,0.144123299,160.3178833,5.077158615,83.30132111,-4.937
Apr-03,52.817,3.966833109,362.3629935,5.892646454,1.151084635,0.140704659,163.4597195,5.096566596,64.63495281,-6.106
May-03,53.282,3.975598563,366.3565925,5.903607155,1.153018714,0.142383472,162.8362226,5.092744926,57.68361264,-5.352
Jun-03,53.706,3.983524727,373.5583094,5.923074109,1.147945606,0.137973915,157.5468187,5.059722676,381.7366925,-4.542
Jul-03,54.689,4.001662592,372.8945526,5.921295679,1.151100447,0.140718396,166.3436493,5.114055825,93.21723292,-4.193
Aug-03,55.113,4.009385623,358.2330166,5.881183659,1.149557017,0.139376665,167.1193048,5.118707957,122.1653546,-4.145
Sep-03,54.942,4.006278083,340.9449014,5.831720885,1.150653644,0.140330167,164.894355,5.105304996,-514.9842742,-4.245
Oct-03,55.245,4.011777839,333.0373669,5.808254697,1.150364178,0.140078569,164.7537455,5.104451908,740.1213297,-4.562
Nov-03,55.767,4.021182297,340.1610315,5.829419128,1.151288229,0.140881515,161.2733762,5.083100914,95.65087919,-5.329
Dec-03,55.569,4.017625492,355.2245721,5.872750187,1.151262748,0.140859382,157.9689027,5.062398196,310.4586975,-5.454
Jan-04,56.085,4.026868397,367.3483253,5.906310513,1.151618729,0.141168543,158.0510087,5.062917821,77.31663253,-5.143
Feb-04,56.275,4.030250387,365.3350161,5.900814785,1.151742424,0.141275947,160.0825932,5.07568989,158.744205,-5.276
Mar-04,56.357,4.031706456,356.8725132,5.877378612,1.152960702,0.142333157,159.6661813,5.073085269,92.00082156,-6.566
Apr-04,55.858,4.022812756,351.379581,5.861867067,1.15224272,0.141710234,160.5659101,5.078704513,66.703477,-6.33
May-04,55.837,4.022436732,355.642272,5.873925372,1.151033723,0.140660428,160.8309558,5.080353849,166.0940393,-5.884
Jun-04,56.181,4.028578621,363.2159281,5.894997501,1.13849326,0.129705687,160.4170897,5.077777234,128.0908093,-5.934
Jul-04,56.009,4.025512392,363.1979702,5.894948058,1.12847198,0.120864488,162.4668995,5.090474286,86.06326541,-5.986
Aug-04,56.216,4.029201414,349.4318611,5.856308582,1.127693719,0.120174591,163.1848434,5.094883567,221.0436884,-5.471
Sep-04,56.336,4.031333762,333.1044328,5.808456053,1.127309749,0.119834042,163.5051015,5.096844192,318.5846345,-5.754
Oct-04,56.351,4.031599987,326.2486677,5.787659875,1.126271983,0.118913049,162.6473574,5.091584406,234.0413743,-5.786
Nov-04,56.231,4.029468206,334.7040951,5.813246843,1.121059864,0.114274545,163.522955,5.096953378,-2281.870603,-5.612
Dec-04,56.267,4.030108218,350.9845597,5.860742233,1.116534479,0.110229673,161.0161693,5.08150479,-4619.916156,-5.34
Jan-05,55.112,4.009367478,363.4587151,5.895665715,1.11180203,0.105982149,149.2914391,5.005900362,295.4569138,-5.045
Feb-05,54.717,4.002174447,360.2497039,5.886797413,1.107366363,0.10198455,149.4558142,5.007000792,300.6008369,-4.009
Mar-05,54.793,4.003562449,350.7526038,5.860081143,1.108014904,0.102570039,148.0102671,4.997281644,104.4382078,-3.645
Apr-05,54.354,3.995518208,344.5611991,5.842271721,1.108684288,0.103173986,149.0186157,5.004071236,72.23893301,-3.538
May-05,54.367,3.995757352,349.609052,5.856815536,1.109291366,0.103721403,147.00732,4.990482381,125.1206275,-2.883
Jun-05,55.919,4.023904215,358.8461445,5.88289373,1.10935393,0.103777801,145.7925519,4.982184734,74.67627519,-2.424
Jul-05,56.105,4.027224935,359.9565363,5.885983292,1.107445082,0.102055635,146.3497906,4.985999582,191.9969961,-2.147
Aug-05,56.16,4.02820476,345.7182106,5.845624023,1.10752033,0.102123579,145.3213415,4.978947439,88.0282152,-1.848
Sep-05,56.055,4.026333352,328.2847998,5.793881524,1.109405487,0.103824274,147.713235,4.995272793,106.4972603,-1.927
Oct-05,55.06,4.0084235,320.8218562,5.770886004,1.107422481,0.102035226,148.117987,4.998009166,139.495259,-1.729
Nov-05,53.999,3.988965528,329.6288385,5.79796729,1.102084683,0.097203553,146.4387217,4.986607059,202.878054,-1.079
Dec-05,53.067,3.971555266,346.6137098,5.848210931,1.100920993,0.096147096,143.4508492,4.965992462,184.5030364,-0.522
Jan-06,52.336,3.957684471,359.0184335,5.883373734,1.092949531,0.088880034,145.3133764,4.978892627,417.7579442,-0.352
Feb-06,52.088,3.952934596,354.0341254,5.869393308,1.085753077,0.082273826,144.3679185,4.972365031,-2041.990771,-0.436
Mar-06,51.284,3.937378813,342.5772136,5.836497074,1.0845935,0.081205263,144.3223271,4.972049181,1283.165863,-0.118
Apr-06,51.826,3.947891954,334.9909515,5.814103521,1.087279809,0.083678989,143.7250291,4.967901954,137.7472837,0.294
May-06,52.654,3.963742209,339.9449062,5.828783564,1.088978696,0.085240281,138.2031958,4.928725036,126.674785,0.31
Jun-06,53.587,3.981306501,349.9681482,5.857842145,1.086013023,0.082513213,135.7750211,4.91099926,145.6133368,-1.15
Jul-06,51.624,3.943986681,351.7920984,5.863040372,1.085040296,0.081617125,136.2623547,4.914582106,183.4751632,-0.616
Aug-06,50.937,3.930589575,337.3368011,5.821081841,1.083964654,0.080625295,136.1927755,4.914071349,121.6912135,-0.023
Sep-06,50.387,3.919733205,319.1049935,5.765520182,1.080316579,0.077254127,134.3650978,4.900560705,402.5314751,-0.104
Oct-06,49.805,3.908115381,310.5219142,5.738254476,1.07650178,0.073716691,132.9872093,4.890252953,137.6696902,-0.139
Nov-06,49.763,3.907271736,317.6289627,5.760883918,1.07552764,0.072811369,128.9415385,4.859359112,137.4692966,0.483
Dec-06,49.132,3.894510554,332.6635719,5.807131685,1.078000794,0.075108209,123.4575744,4.81589757,141.9214684,1.164
Jan-07,49.027,3.892371167,343.3839423,5.838849186,1.077544016,0.074684392,122.4105133,4.80738026,-750.1159398,1.837
Feb-07,48.287,3.877162373,337.7687726,5.822361557,1.081060349,0.077942364,122.5310403,4.808364388,-2127.029823,2.374
Mar-07,48.262,3.876644502,326.5481762,5.788577491,1.08360686,0.080295162,121.1223158,4.796800909,892.1735564,2.328
Apr-07,47.51,3.860940215,319.6173477,5.767124492,1.085676495,0.08220329,119.5393792,4.78364585,313.9230725,2.389
May-07,46.269,3.83447219,325.1813629,5.784383066,1.086608154,0.08306106,122.3891943,4.807206085,403.4815283,2.279
Jun-07,46.329,3.835768115,335.7947075,5.816499984,1.083246763,0.079962794,120.3756064,4.790616908,122.9354332,2.039
Jul-07,45.611,3.820148915,338.0959796,5.823329819,1.077784787,0.074907812,121.9096801,4.803280444,87.28636746,1.769
Aug-07,46.695,3.843637093,323.9342101,5.78054044,1.081653062,0.078490484,127.7885027,4.850376575,77.5115368,1.771
Sep-07,45.063,3.808061511,306.004267,5.723599046,1.089027971,0.085285528,127.8971394,4.851226343,191.0570289,1.696
Oct-07,43.947,3.782984362,297.8639955,5.696636991,1.092347296,0.088328863,126.8820435,4.843257863,139.0692843,1.322
Nov-07,42.798,3.756491373,305.790206,5.722899266,1.09401916,0.089858217,123.9144334,4.819591274,64.08842365,1.281
Dec-07,41.401,3.723305035,322.1448622,5.775001327,1.092453686,0.088426254,112.9426705,4.726880349,133.1798623,1.371
Jan-08,40.65,3.704998836,334.4072472,5.812359553,1.080262232,0.077203819,123.2985501,4.814608651,93.63514972,0.167
Feb-08,40.36,3.697839195,329.4321062,5.797370282,1.078687365,0.075744899,123.9360014,4.819765315,195.3097385,-0.715
Mar-08,41.868,3.734521812,317.3658193,5.760055113,1.076397763,0.073620062,121.9599326,4.803692569,76.84303196,-1.16
Apr-08,42.192,3.74223063,309.2671496,5.734205465,1.074913005,0.072239732,124.0987391,4.821077532,140.3541429,-1.38
May-08,43.882,3.781504213,312.8898467,5.745851201,1.07765119,0.074783849,123.0670002,4.812728924,134.2322243,-1.942
Jun-08,44.756,3.801225514,321.0203208,5.771504426,1.078209234,0.075301548,119.3632808,4.782171623,90.89974664,-2.34
Jul-08,44.14,3.787366401,321.4445055,5.772824917,1.072471428,0.069965731,121.2446286,4.797810229,53.71721078,-2.909
Aug-08,45.685,3.821770016,306.7751701,5.726115134,1.060737921,0.058964818,120.4746025,4.791438963,110.1289784,-3.62
Sep-08,46.917,3.848380083,289.117931,5.666834671,1.047331204,0.046245218,118.3230342,4.773418462,158.1588504,-3.436
Oct-08,48.746,3.886623143,281.4501931,5.639955498,1.034690746,0.034102586,118.9906713,4.779045098,119.3466905,-2.997
Nov-08,48.88,3.889368315,290.1013495,5.670230343,1.026881762,0.026526795,115.5551685,4.749748065,-1894.423018,-4.722
Dec-08,47.485,3.860413872,307.3245105,5.727904227,1.026173734,0.025837064,112.4703436,4.722689575,82.9891649,-4.352
Jan-09,47.076,3.851763317,319.8577093,5.767876238,1.017076078,0.016931921,118.5294697,4.775161619,62.30582478,-3.627
Feb-09,48.236,3.87610563,313.6547683,5.748292917,1.014884037,0.014774357,118.6405675,4.776098481,67.62321994,-3.101
Mar-09,48.419,3.879892299,300.5809834,5.705717213,1.016608248,0.016471839,118.9408646,4.778626434,107.3460414,-3.338
Apr-09,48.704,3.885761162,291.3967989,5.674685908,1.013283243,0.013195794,119.2271515,4.781030509,156.0174087,-3.43
May-09,47.548,3.861739727,295.0467793,5.687133918,1.015951874,0.01582598,118.740963,4.776944339,67.3439143,-3.724
Jun-09,48.308,3.877597178,304.7613244,5.719528927,1.015530171,0.015410812,115.8078348,4.751932221,52.63192164,-4.047
Jul-09,48.121,3.873718672,308.494466,5.731703905,1.01742363,0.017273579,117.2803175,4.764566945,60.11505613,-3.823
Aug-09,48.906,3.889900088,298.245137,5.697915756,1.018264921,0.018100121,115.4077402,4.748471424,289.5845417,-3.648
Sep-09,47.592,3.86266468,283.8186593,5.648335511,1.019912778,0.019717112,114.4563975,4.740193942,1403.666956,-3.742
Oct-09,47.732,3.865602033,276.7443148,5.623094029,1.018545846,0.018375969,112.4076607,4.722132091,753.4298294,-3.633
Nov-09,46.752,3.844857036,282.323882,5.64305493,1.016345491,0.016213341,109.4589154,4.695549277,-775.0466442,-3.599
Dec-09,46.356,3.836350733,293.9001649,5.683240135,1.014530874,0.014426313,106.1741241,4.665080427,81.03840834,-3.667
Jan-10,46.743,3.844664512,301.0669013,5.707332503,1.010048555,0.009998404,110.2264729,4.702537094,67.152384,-3.706
Feb-10,46.258,3.834234422,294.4563689,5.685130839,1.003206926,0.003201795,110.0527528,4.700959822,154.8113156,-3.738
Mar-10,45.22,3.811539467,283.9401219,5.648763378,1.000844814,0.000844458,108.5793231,4.687480994,137.8240917,-3.65
Apr-10,44.644,3.79871992,277.7739832,5.626807773,0.993283449,-0.006739209,108.0594838,4.682681851,54.8107069,-3.543
May-10,46.212,3.833239505,283.0267993,5.64554159,0.995864808,-0.004143766,108.19067,4.683895133,93.97128703,-3.402
Jun-10,46.31,3.83535792,293.5103613,5.681912941,0.992517137,-0.007511,107.7236597,4.679569242,-178.1057119,-3.403
Jul-10,45.813,3.824567894,297.7775144,5.696346612,0.99189665,-0.008136361,109.3859936,4.694882852,292.564778,-3.561
Aug-10,45.179,3.810632377,288.2312652,5.663763162,0.989860098,-0.010191661,109.8350943,4.698980099,-185.5440021,-3.631
Sep-10,43.896,3.7818232,274.4016181,5.614592793,0.993688334,-0.006331668,106.7588959,4.670572982,-77.0504791,-3.687
Oct-10,43.182,3.765423742,267.6042289,5.589509131,0.997775577,-0.002226901,108.3066328,4.684966397,463.026939,-3.468
Nov-10,44.255,3.789968359,273.2172289,5.610267189,0.993621637,-0.006398792,105.665246,4.66027604,64.6964331,-2.17
Dec-10,43.885,3.781572576,285.0112791,5.652528755,0.994923015,-0.005089916,100.0462507,4.605632586,74.82353744,-0.475
