Month,spot,ln(spot),GDP,ln(GDP),CPI,ln(CPI),M3,ln(M3),BoT,diff(rate)
Jan-99,44.238,3.789584148,73.36618863,4.295463184,1.331525015,0.286324913,227.9193061,5.428991646,-16.55924416,-10.11
Feb-99,43.1603,3.764921091,72.15964771,4.278880994,1.3279561,0.283640993,228.1561827,5.430030406,6.762509068,-9.64
Mar-99,41.5843,3.727722692,71.43736395,4.268821037,1.328525926,0.284070001,226.8140364,5.424130459,65.81214696,-9.09
Apr-99,40.3523,3.697648394,71.38306776,4.268060695,1.33111909,0.28602001,229.1008429,5.434162268,-9.219787309,-8.15
May-99,39.7369,3.682280227,72.16676726,4.278979653,1.332743996,0.287239972,225.5298527,5.418452535,-4.62522427,-7.38
Jun-99,39.2812,3.670746033,72.80832081,4.287830245,1.32196827,0.279121739,223.2433735,5.408262537,33.68345775,-6.63
Jul-99,41.0178,3.714006119,71.96227771,4.276142061,1.31820331,0.27626968,223.6733516,5.410186736,182.9034122,-5.75
Aug-99,41.5871,3.727790023,69.05463463,4.234897998,1.317092601,0.275426732,220.2479076,5.394753765,1.128368998,-5.75
Sep-99,43.7637,3.778804707,66.07496732,4.190789966,1.314074347,0.273132499,217.8210164,5.3836737,-0.957563126,-5.85
Oct-99,42.2342,3.743230319,64.99904349,4.174372554,1.311482132,0.271157896,219.1726662,5.389859849,4.498016558,-5.20
Nov-99,41.4885,3.72541628,66.83645136,4.202248611,1.307183041,0.267874472,210.9323149,5.3515373,0.98202667,-5.39
Dec-99,40.5952,3.703649833,70.22499998,4.251704373,1.310018928,0.270041586,198.6179518,5.291383139,0.951050282,-5.45
Jan-00,39.3843,3.67336726,73.07911526,4.291542625,1.270896785,0.239722781,212.2840953,5.35792545,-135.6658808,-5.57
Feb-00,39.7177,3.681796932,73.09644481,4.291779731,1.269579953,0.2386861,217.436405,5.381906417,-6.747340437,-5.31
Mar-00,39.4985,3.676262697,71.63009522,4.27151531,1.27223076,0.240771864,213.2771227,5.362592366,-2.819935608,-5.20
Apr-00,37.5919,3.626788602,70.48807845,4.255443596,1.272671156,0.241117964,213.4390062,5.363351107,-10.4922357,-4.83
May-00,39.8438,3.68496681,70.98742339,4.262502726,1.272752591,0.241181949,216.6606863,5.378332472,-8.323284452,-4.44
Jun-00,41.0481,3.71474455,72.00593297,4.276748518,1.266539705,0.23628854,211.2804237,5.353186273,-2.279590351,-4.40
Jul-00,41.53,3.726416058,71.71347448,4.272678659,1.264891847,0.234986622,213.1776879,5.362126034,3.459651446,-4.32
Aug-00,40.2853,3.695986638,69.10773877,4.235666718,1.263864536,0.234174119,211.8373591,5.355818806,-4.685794793,-4.15
Sep-00,40.6318,3.704551011,66.21046423,4.19283852,1.262668529,0.233227362,209.8130895,5.346217084,-8.006031215,-4.29
Oct-00,43.2398,3.766761367,65.1947718,4.177379279,1.254153005,0.226460449,207.6763873,5.335981038,-5.012319439,-4.37
Nov-00,42.315,3.745141633,67.20133193,4.207693068,1.24237342,0.217023599,202.5336542,5.310906066,-6.41865106,-10.71
Dec-00,46.4931,3.839303914,70.77528319,4.259509832,1.236844668,0.212563514,198.0724852,5.288633051,-3.044310918,-8.67
Jan-01,45.8,3.824284091,73.62859346,4.299033448,1.22752,0.204995874,201.315767,5.304874656,59.32290668,-7.46
Feb-01,44.3247,3.791542084,73.27168898,4.294174299,1.229391098,0.206519004,204.3042972,5.319610536,0.053795077,-5.86
Mar-01,43.6008,3.775075499,71.40616189,4.268384167,1.229801672,0.206852914,203.5765388,5.316042046,-13.01175836,-5.03
